rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,train/loss,train/explained_variance,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/std,train/clip_fraction,train/entropy_loss
-4297.08670034,898560,7560.0,2886,104,311,-0.015623168088495731,0.9995298981666565,0.0016941227291546832,1030,5e-05,0.2,-0.0035912308364209754,0.005172878,0.8431519865989685,0.03587962962962963,-4.984395929619118
-4298.56690239,907200,7560.0,2915,105,311,-2.572336234152317e-05,0.9995756149291992,0.0019004015465637807,1040,5e-05,0.2,-0.005105837223258008,0.0050295847,0.8410300612449646,0.04465277777777778,-4.982581297203347
-4298.15897428,915840,7560.0,2943,106,311,0.002013533841818571,0.9995993971824646,0.0017255404446472379,1050,5e-05,0.2,-0.0037505166153251022,0.00520905,0.8362371921539307,0.03864583333333333,-4.965275605872825
-4299.17373299,924480,7560.0,2971,107,311,0.01672881282866001,0.9994328618049622,0.0023435062296792036,1060,5e-05,0.2,-0.002740186074645155,0.0056738155,0.8361334204673767,0.03502314814814815,-4.95372284218117
-4296.497276810001,933120,7560.0,2999,108,311,-0.006518225185573101,0.9994167685508728,0.0018599290049126096,1070,5e-05,0.2,-0.004385425458075824,0.005006875,0.8302672505378723,0.03998842592592593,-4.938634284337362
-4293.6831427100005,941760,7560.0,3026,109,311,-0.009735261090099812,0.9989292025566101,0.0028101179382280894,1080,5e-05,0.2,-0.003799131168052554,0.0056279963,0.8285320997238159,0.0441087962962963,-4.921042054847435
-4291.6785801,950400,7560.0,3054,110,311,0.027163289487361908,0.9978737831115723,0.003138668723878692,1090,5e-05,0.2,-0.004538284720404556,0.0060497196,0.8266364336013794,0.0512037037037037,-4.911043817732069
-4291.941384039999,959040,7560.0,3081,111,311,-0.019598426297307014,0.9978688359260559,0.00270102219237877,1100,5e-05,0.2,-0.0038490369596898004,0.0053141257,0.8238685727119446,0.038391203703703705,-4.899946715743454
-4294.10975996,967680,7560.0,3111,112,310,-0.020508773624897003,0.9977242350578308,0.0026590779804003734,1110,5e-05,0.2,-0.002841541522906886,0.0049607535,0.8215355277061462,0.030949074074074073,-4.8874452145894365
-4295.21422123,976320,7560.0,3139,113,311,-0.008940363302826881,0.9985535144805908,0.002351902525621915,1120,5e-05,0.2,-0.0032074389241083905,0.0047432575,0.8199201226234436,0.038148148148148146,-4.8759354739718965
