time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/clip_range,train/approx_kl,train/loss,train/learning_rate,train/explained_variance,train/value_loss,train/n_updates,train/std,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss
941760,8640.0,89,2636,-1834.5296180999994,291,0.2,0.0048966124,-0.45363569259643555,5e-05,0.9996669292449951,0.001061124415481808,1070,2.933826208114624,0.029479166666666667,-9.215844641085024,-0.005531019041642409
950400,8640.0,90,2664,-1824.54031294,291,0.2,0.0042953324,-0.4745706617832184,5e-05,0.9995855689048767,0.0011739190510491391,1080,2.9657702445983887,0.025243055555555557,-9.23859081197668,-0.004372834487542234
959040,8640.0,91,2693,-1815.64601642,291,0.2,0.004359032,-0.4598867893218994,5e-05,0.9996918439865112,0.0010805554031739356,1090,2.9903838634490967,0.02304398148148148,-9.262663096675166,-0.004309567266350819
967680,8640.0,92,2721,-1808.22750912,292,0.2,0.005285769,-0.4570295810699463,5e-05,0.9997261762619019,0.0009976018795364158,1100,3.035409450531006,0.031921296296296295,-9.293176731533475,-0.005101470372260168
976320,8640.0,93,2750,-1801.5924635600002,292,0.2,0.004725663,-0.49087756872177124,5e-05,0.9995530247688293,0.0011666648020898854,1110,3.068202018737793,0.027974537037037037,-9.326654519681577,-0.0048106708388810085
984960,8640.0,94,2778,-1795.8381343400001,292,0.2,0.005173628,-0.47523391246795654,5e-05,0.999596357345581,0.001080616840174318,1120,3.1104843616485596,0.02803240740740741,-9.364482063010886,-0.005379442565177602
993600,8640.0,95,2806,-1790.807495,292,0.2,0.004513427,-0.4801381230354309,5e-05,0.9997076392173767,0.0010696786445677626,1130,3.1456618309020996,0.027962962962962964,-9.399772340280037,-0.005882109839952103
1002240,8640.0,96,2836,-1785.9405089100003,292,0.2,0.00461984,-0.5046364068984985,5e-05,0.9992267489433289,0.0015219523702506665,1140,3.197394847869873,0.02619212962962963,-9.437543204272234,-0.004590877999413621
1010880,8640.0,97,2864,-1781.1748073099996,292,0.2,0.00458767,-0.4828997254371643,5e-05,0.9995586276054382,0.0012646711525869452,1150,3.2249882221221924,0.026122685185185186,-9.468526962421558,-0.005453062901204383
1019520,8640.0,98,2892,-1776.8669215700002,292,0.2,0.004839807,-0.46185430884361267,5e-05,0.9997312426567078,0.0009474850124118987,1160,3.2835206985473633,0.02974537037037037,-9.504133752893518,-0.005888959233028193
1028160,8640.0,99,2922,-1773.2750096900002,292,0.2,0.0049127927,-0.47387605905532837,5e-05,0.9993498921394348,0.0015368190597898016,1170,3.329435348510742,0.03033564814814815,-9.558400572317618,-0.004020335062199997
1036800,8640.0,100,2951,-1769.71109743,292,0.2,0.0037863916,-0.48195651173591614,5e-05,0.9997400641441345,0.0009975034451000047,1180,3.358626365661621,0.01982638888888889,-9.58863755967882,-0.00417061166561864
1045440,8640.0,101,2980,-1766.3365629700002,292,0.2,0.004071964,-0.48584839701652527,5e-05,0.9997194409370422,0.0010593965274704345,1190,3.3906569480895996,0.016122685185185184,-9.602999538139061,-0.004272261920592023
1054080,8640.0,102,3008,-1763.18869071,292,0.2,0.0043958104,-0.5171419978141785,5e-05,0.9974339604377747,0.0025001754940280484,1200,3.450770616531372,0.023252314814814816,-9.6436040214256,-0.00421144525701594
1062720,8640.0,103,3036,-1759.0065520800001,293,0.2,0.003499815,-0.48262229561805725,5e-05,0.9994414448738098,0.0013195558192846538,1210,3.498208999633789,0.013298611111111112,-9.695999765749331,-0.0031238890666928556
1071360,8640.0,104,3064,-1755.2873249299998,293,0.2,0.0043146545,-0.4831397533416748,5e-05,0.9995567202568054,0.0013140825459871579,1220,3.5521023273468018,0.02228009259259259,-9.73809499669958,-0.0048011713590541925
1080000,8640.0,105,3092,-1751.7528596700001,293,0.2,0.004563728,-0.4655943810939789,5e-05,0.9994109272956848,0.0015159188536495937,1230,3.582919120788574,0.030046296296296297,-9.775138243216055,-0.004807484842043508
1088640,8640.0,106,3120,-1748.5898440800001,293,0.2,0.004461203,-0.4896543323993683,5e-05,0.9986389875411987,0.0018642815049841172,1240,3.635896682739258,0.02347222222222222,-9.814600043120208,-0.004615021281427255
1097280,8640.0,107,3148,-1746.5998178200002,293,0.2,0.004571135,-0.510132908821106,5e-05,0.9969687461853027,0.0032138602633494883,1250,3.699064016342163,0.022581018518518518,-9.872096684067337,-0.004077664748765528
1105920,8640.0,108,3176,-1745.2830929700003,293,0.2,0.00464536,-0.4934341013431549,5e-05,0.9971998929977417,0.0033956380779165086,1260,3.7709035873413086,0.025439814814814814,-9.94084827846951,-0.004472483278562625
1114560,8640.0,109,3204,-1743.3451555499998,293,0.2,0.0044237296,-0.49400702118873596,5e-05,0.9978264570236206,0.0024337793953492547,1270,3.832080364227295,0.021747685185185186,-10.006766562991672,-0.004042116673921959
1123200,8640.0,110,3231,-1742.3583592999996,294,0.2,0.004712265,-0.5211078524589539,5e-05,0.9980089068412781,0.0022795201766873815,1280,3.9168689250946045,0.03025462962962963,-10.078245894114177,-0.005478339321669881
1131840,8640.0,111,3259,-1740.0798257200001,294,0.2,0.0052015507,-0.5216171145439148,5e-05,0.9982545375823975,0.0021319972762958734,1290,3.997420072555542,0.029444444444444443,-10.151954212895147,-0.005436444895652434
1140480,8640.0,112,3287,-1737.7685201499999,294,0.2,0.004526046,-0.5334759950637817,5e-05,0.9997126460075378,0.0014301796892606136,1300,4.05034875869751,0.02337962962962963,-10.204399341300682,-0.004076457984779996
1149120,8640.0,113,3315,-1736.2749629,294,0.2,0.004808558,-0.4912710189819336,5e-05,0.9997672438621521,0.0012453244745524394,1310,4.09920072555542,0.026921296296296297,-10.233498316870795,-0.004674457485045962
1157760,8640.0,114,3343,-1734.16541914,294,0.2,0.004437533,-0.5162100195884705,5e-05,0.999292254447937,0.0018779452651721874,1320,4.146557331085205,0.022962962962962963,-10.269100655449762,-0.003540771270032834
1166400,8640.0,115,3371,-1732.5266240800001,294,0.2,0.0036880525,-0.5297634601593018,5e-05,0.9997789859771729,0.0011395933619200217,1330,4.1998209953308105,0.017743055555555557,-10.309933277412696,-0.004302555920245746
1175040,8640.0,116,3399,-1731.0813346500006,294,0.2,0.004762375,-0.5270414352416992,5e-05,0.9997884631156921,0.0011304169885934918,1340,4.253633499145508,0.02550925925925926,-10.342377236684163,-0.0048039201983354155
1183680,8640.0,117,3427,-1729.5343417200002,294,0.2,0.0059870956,-0.5353657007217407,5e-05,0.9997312426567078,0.0012675819631355505,1350,4.307906150817871,0.03849537037037037,-10.37444987403022,-0.0050811934615140435
1192320,8640.0,118,3455,-1728.50322966,295,0.2,0.00423431,-0.5293850898742676,5e-05,0.9997847676277161,0.001256898257049249,1360,4.353250980377197,0.019884259259259258,-10.404453881581624,-0.004517929888571854
1200960,8640.0,119,3483,-1726.94203458,295,0.2,0.005860699,-0.5156565308570862,5e-05,0.9997865557670593,0.0011125224376856177,1370,4.410984039306641,0.03841435185185185,-10.429929780606871,-0.005958570886092881
1209600,8640.0,120,3510,-1725.1425578499998,295,0.2,0.004744568,-0.5221591591835022,5e-05,0.9998054504394531,0.0008950487245089823,1380,4.471372127532959,0.03136574074074074,-10.4598033813194,-0.0048983684644379
1218240,8640.0,121,3538,-1723.1717303399998,295,0.2,0.0043690987,-0.5110924243927002,5e-05,0.9998112916946411,0.0010261569411657682,1390,4.52327823638916,0.02171296296296296,-10.488835839165581,-0.0043020506993074106
1226880,8640.0,122,3565,-1721.3503642299997,295,0.2,0.0044427216,-0.5157032012939453,5e-05,0.9998112916946411,0.0010688660105181583,1400,4.578839302062988,0.025694444444444443,-10.513552715160229,-0.004784205576094489
1235520,8640.0,123,3593,-1719.95613487,295,0.2,0.005004226,-0.537227988243103,5e-05,0.9998255968093872,0.000901560938908477,1410,4.631888389587402,0.031296296296296294,-10.540744227656612,-0.005328730876488542
