time/iterations,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/std,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/value_loss,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate
66,-19791.45626045333,306,570240,7560.0,1861,1.0573843717575073,0.2,-5.886049645741781,-0.002679862146507259,0.9982097148895264,650,0.0014595791709359253,0.021875,0.010017525404691696,0.0033741365,5e-05
67,-19674.72462430263,306,578880,7560.0,1889,1.0589356422424316,0.2,-5.900492500729031,-0.005593320819963184,0.9979132413864136,660,0.0015434334486619467,0.03274305555555555,-0.021402781829237938,0.0048573664,5e-05
68,-19503.888793441558,306,587520,7560.0,1917,1.0626147985458374,0.2,-5.910970500310262,-0.004429868562491956,0.9975577592849731,670,0.0019596359131995728,0.032060185185185185,0.0027642822824418545,0.004526729,5e-05
69,-19402.4065305641,306,596160,7560.0,1945,1.0631111860275269,0.2,-5.918217076195611,-0.00639304896230223,0.9980316758155823,680,0.0017600931411747027,0.046655092592592595,-0.009818270802497864,0.005800115,5e-05
70,-19162.925379125,306,604800,7560.0,1975,1.069088339805603,0.2,-5.930171468522814,-0.004731956064632094,0.9981695413589478,690,0.0018483243255091278,0.03079861111111111,-0.0036936630494892597,0.004545332,5e-05
71,-19036.575251691356,306,613440,7560.0,2003,1.065772533416748,0.2,-5.9349428953947845,-0.007251075652807399,0.997787356376648,700,0.0008044542753594686,0.05355324074074074,0.02213957905769348,0.0060204654,5e-05
72,-18954.51502597561,306,622080,7560.0,2031,1.0688307285308838,0.2,-5.933617280677513,-0.004285995182753713,0.9985315203666687,710,0.001345305961310967,0.029282407407407406,-0.01039979886263609,0.004209923,5e-05
73,-18803.153857096386,306,630720,7560.0,2059,1.0710562467575073,0.2,-5.944317307648835,-0.003824351876801639,0.9981783032417297,720,0.0009909482402683891,0.03494212962962963,-0.034768588840961456,0.0050040907,5e-05
74,-18734.50246970238,306,639360,7560.0,2088,1.0686088800430298,0.2,-5.943775426016914,-0.005083068818095382,0.9974697232246399,730,0.0005146922099973179,0.04137731481481482,-0.01578356884419918,0.005585392,5e-05
75,-18605.573361811767,306,648000,7560.0,2115,1.0690786838531494,0.2,-5.939433795081245,-0.004108870741738766,0.99847412109375,740,0.0013614122084712747,0.030439814814814815,-0.0006900475709699094,0.004836499,5e-05
76,-18461.16756361628,306,656640,7560.0,2143,1.070299506187439,0.2,-5.94350242473461,-0.00340535040927568,0.9979763031005859,750,0.0010789930713319875,0.02409722222222222,-0.0031426651403307915,0.0039713224,5e-05
77,-18182.28091965909,306,665280,7560.0,2173,1.0688930749893188,0.2,-5.942574010425144,-0.004775875207485149,0.9978469014167786,760,0.0004099789789782975,0.04416666666666667,-0.006539837922900915,0.0054764342,5e-05
78,-18048.027401022468,306,673920,7560.0,2201,1.0675015449523926,0.2,-5.937402206350256,-0.005379388636081583,0.9985493421554565,770,0.00034380364243622385,0.043298611111111114,-0.014996825717389584,0.004997878,5e-05
79,-17915.837910077775,306,682560,7560.0,2229,1.0640859603881836,0.2,-5.927178460227118,-0.0059280548810406964,0.9985635280609131,780,0.0002806402953110928,0.05274305555555556,-0.008311072364449501,0.006353668,5e-05
