time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/clip_range,train/loss,train/clip_fraction,train/std,train/entropy_loss,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/explained_variance,train/approx_kl,train/learning_rate,train/value_loss
7123,295,487,2103840,-0.002862585682819104,0.2,-0.061706557869911194,0.006525735294117647,1.1169220209121704,-6.114814377532285,7560.0,4860,-6364.682678460001,0.9711353778839111,0.0033946834,1e-05,0.0005020431646698853
7140,295,488,2108160,-0.0028906192510690103,0.2,-0.05505426600575447,0.003285845588235294,1.1165831089019775,-6.115300115417032,7560.0,4870,-6364.682678460001,0.9995196461677551,0.0031966635,1e-05,0.0003260322485670365
7157,295,489,2112480,-0.002491139046341071,0.2,-0.06357024610042572,0.007582720588235294,1.116567611694336,-6.114564219643088,7560.0,4880,-6249.699239369998,0.9945757389068604,0.0037670494,1e-05,0.00035959567291737426
7176,294,490,2116800,-0.0026402476729879922,0.2,-0.07231896370649338,0.0038143382352941175,1.1166820526123047,-6.1148129133617175,7560.0,4890,-6149.70490244,0.9994706511497498,0.0032053147,1e-05,0.0004421933761905701
7192,294,491,2121120,-0.0023255368656999267,0.2,-0.07000764459371567,0.009972426470588235,1.1176211833953857,-6.116708981289583,7560.0,4900,-6149.70490244,0.9995921850204468,0.0041582407,1e-05,0.00034321782986808104
7209,294,492,2125440,-0.002532507757902803,0.2,-0.06355705112218857,0.004227941176470588,1.1181050539016724,-6.119305457087124,7560.0,4910,-6077.4997017999995,0.9993658065795898,0.0027715247,1e-05,0.000513323162757682
7224,294,493,2129760,-0.004285524535568103,0.2,-0.0866783857345581,0.027113970588235295,1.1186869144439697,-6.120967904259177,7560.0,4920,-6077.4997017999995,0.997313916683197,0.004213247,1e-05,0.024372730375377134
7239,294,494,2134080,-0.004065365401124034,0.2,-0.062062665820121765,0.006135110294117647,1.1183452606201172,-6.121842889224782,7560.0,4930,-6011.944467280001,0.9985368847846985,0.002067631,1e-05,0.013585896538707483
7253,294,495,2138400,-0.00364006181137965,0.2,-0.07055293768644333,0.02346047794117647,1.1191062927246094,-6.122279063393088,7560.0,4940,-6011.944467280001,0.9991552829742432,0.00441918,1e-05,0.006660485091988983
7268,294,496,2142720,-0.0013158453149063622,0.2,-0.07928212732076645,0.0004136029411764706,1.1194461584091187,-6.124530637965483,7560.0,4950,-5947.240465080001,0.9985408782958984,0.0012991376,1e-05,0.026907826769371132
