time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/entropy_loss,train/loss,train/learning_rate,train/approx_kl,train/explained_variance,train/clip_fraction,train/n_updates,train/clip_range,train/policy_gradient_loss,train/value_loss,train/std
2744,98,-19130.497150530613,8640.0,308,846720,-8.88819622958148,-0.43406710028648376,5e-05,0.0047687627,0.9996855854988098,0.031782407407407405,970,0.2,-0.005208221232449567,0.0015322502563638544,2.6209094524383545
2773,99,-19105.32469520202,8640.0,308,855360,-8.914911932768645,-0.453975111246109,5e-05,0.0039012202,0.9996865391731262,0.01712962962962963,980,0.2,-0.0034535496468069376,0.001377867395705026,2.649907350540161
2801,100,-19077.96453203,8640.0,308,864000,-8.93186929208261,-0.45063480734825134,5e-05,0.0045260675,0.9996595978736877,0.025810185185185186,990,0.2,-0.00557654253276134,0.0014099480301417687,2.6721949577331543
2830,101,-18993.235358930004,8640.0,308,872640,-8.948232207121672,-0.4452721178531647,5e-05,0.004126948,0.9996784329414368,0.017997685185185186,1000,0.2,-0.004511852038127405,0.0012193176552170405,2.7045421600341797
2858,102,-18905.44383247,8640.0,308,881280,-8.963762206324825,-0.46221816539764404,5e-05,0.004538592,0.999671995639801,0.032511574074074075,1010,0.2,-0.005071663953174182,0.0011458878767142003,2.7326598167419434
2887,103,-18807.504193250003,8640.0,308,889920,-8.972640154096815,-0.4595092236995697,5e-05,0.0040711304,0.999691367149353,0.022094907407407407,1020,0.2,-0.0041083739403014385,0.0010694561495135228,2.753814935684204
2916,104,-18694.15336882,8640.0,308,898560,-8.99006744949906,-0.4468885064125061,5e-05,0.0054234443,0.999675989151001,0.0340162037037037,1030,0.2,-0.005189267042679367,0.0011693552654253802,2.78865909576416
2944,105,-18572.085964179998,8640.0,308,907200,-9.016933304822004,-0.44727623462677,5e-05,0.004569642,0.9996863603591919,0.03059027777777778,1040,0.2,-0.005417681453335616,0.0013111589376866403,2.8208346366882324
2973,106,-18442.91289246,8640.0,308,915840,-9.041973682686134,-0.4516870081424713,5e-05,0.004631953,0.9997466206550598,0.02428240740740741,1050,0.2,-0.004708216329346653,0.000994066256033774,2.8503100872039795
3002,107,-18325.06552249,8640.0,307,924480,-9.070279756475378,-0.45080193877220154,5e-05,0.0047245324,0.99968022108078,0.025798611111111112,1060,0.2,-0.004063077205015967,0.001356291246764293,2.8915462493896484
3030,108,-18218.774983630003,8640.0,307,933120,-9.100954288906522,-0.4563484489917755,5e-05,0.0036348207,0.9997135400772095,0.017824074074074076,1070,0.2,-0.004131016473941229,0.0010785005183640384,2.9231300354003906
3060,109,-18114.28687599,8640.0,307,941760,-9.125404550764296,-0.47011226415634155,5e-05,0.0048713693,0.9996823072433472,0.026284722222222223,1080,0.2,-0.004131739530194965,0.0011648040555667614,2.9496476650238037
3089,110,-18021.188811400003,8640.0,307,950400,-9.150039321758129,-0.4666264057159424,5e-05,0.0037699328,0.9997080564498901,0.016863425925925928,1090,0.2,-0.004298933128377906,0.001002593203555551,2.9810128211975098
3118,111,-17940.852517180003,8640.0,307,959040,-9.17448843991315,-0.48551133275032043,5e-05,0.004863957,0.999708354473114,0.024224537037037037,1100,0.2,-0.0042567213338420345,0.0011424359188553085,3.019335985183716
3147,112,-17868.64278892,8640.0,307,967680,-9.203434351461905,-0.4826003611087799,5e-05,0.0050568706,0.9997243285179138,0.03613425925925926,1110,0.2,-0.004401892430183512,0.0009665210243029933,3.0493178367614746
3175,113,-17806.366452700004,8640.0,307,976320,-9.222529970098424,-0.4770648777484894,5e-05,0.004753783,0.9997254014015198,0.026018518518518517,1120,0.2,-0.005045496679980446,0.0010890377475880086,3.0795202255249023
3204,114,-17743.69055214,8640.0,307,984960,-9.235726011770742,-0.45454543828964233,5e-05,0.004805834,0.9997430443763733,0.03017361111111111,1130,0.2,-0.004891957012522552,0.0010086729900945944,3.1103968620300293
3232,115,-17682.77123803,8640.0,307,993600,-9.253098788791233,-0.4704354703426361,5e-05,0.004699456,0.9997215867042542,0.020439814814814813,1140,0.2,-0.005243075361337375,0.000935931223104018,3.1392502784729004
3261,116,-17629.247170839997,8640.0,307,1002240,-9.270603288721155,-0.46839433908462524,5e-05,0.0051124482,0.999739408493042,0.027916666666666666,1150,0.2,-0.005328949895963349,0.0008798665416004412,3.1693077087402344
3290,117,-17577.47642176,8640.0,307,1010880,-9.29198648099546,-0.47473669052124023,5e-05,0.0048449994,0.9996408820152283,0.026354166666666668,1160,0.2,-0.005157595304254857,0.001300647099269554,3.209150552749634
